,,,,,,
,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
"Feb 11, 2025","1,020.79","1,022.69","1,002.95","1,008.08","1,008.08","3,194,611"
"Feb 10, 2025","1,023.05","1,032.85","1,015.88","1,027.60","1,027.60","3,296,600"
"Feb 7, 2025","1,017.00","1,027.76","1,005.67","1,013.93","1,013.93","3,212,900"
"Feb 6, 2025","1,007.87","1,016.35","1,002.61","1,015.68","1,015.68","3,134,300"
"Feb 5, 2025",987.73,"1,011.83",986.68,"1,011.11","1,011.11","3,993,400"
"Feb 4, 2025",980.47,"1,008.00",978.51,994.87,994.87,"6,000,100"
"Feb 3, 2025",973,987.69,964.38,978.94,978.94,"3,724,200"
"Jan 31, 2025",974,990.29,974,976.76,976.76,"3,618,700"
"Jan 30, 2025",986.75,994.59,970.01,973.24,973.24,"3,867,800"
"Jan 29, 2025",980,987.64,968.23,978.15,978.15,"2,930,700"
"Jan 28, 2025",966.71,977.93,957.3,971.83,971.83,"3,434,000"
"Jan 27, 2025",971.1,982.27,960.26,971.89,971.89,"4,634,200"
"Jan 24, 2025",984.41,986.28,967.68,977.59,977.59,"4,550,400"
"Jan 23, 2025",957.81,985,953.9,984.86,984.86,"7,752,100"
"Jan 22, 2025",998.03,999,950.76,953.99,953.99,"14,273,200"
"Jan 21, 2025",863.53,916.4,854.75,869.68,869.68,"9,851,400"
"Jan 17, 2025",859.79,865,852.13,858.1,858.1,"3,617,600"
"Jan 16, 2025",860.96,868.98,842.02,842.37,842.37,"4,028,500"
"Jan 15, 2025",836.44,850.84,830.41,848.26,848.26,"3,181,400"
"Jan 14, 2025",843.2,844.89,823.52,828.4,828.4,"3,037,700"
"Jan 13, 2025",831.53,847.07,829.14,840.29,840.29,"3,024,500"
"Jan 10, 2025",866.4,866.41,834.4,837.69,837.69,"4,803,300"
"Jan 8, 2025",880,886.22,873,875,875,"2,347,900"
"Jan 7, 2025",879.38,888,869.11,879.19,879.19,"2,649,800"
"Jan 6, 2025",888.76,892.83,871.69,881.79,881.79,"3,457,700"
"Jan 3, 2025",893.13,898.83,879.89,881.05,881.05,"2,967,300"
"Jan 2, 2025",895.5,898.58,877,886.73,886.73,"2,312,300"
"Dec 31, 2024",901.8,902.68,889.47,891.32,891.32,"1,875,900"
"Dec 30, 2024",894.51,908.23,889.71,900.43,900.43,"2,203,000"
"Dec 27, 2024",916.01,918.13,894.5,907.55,907.55,"3,226,200"
"Dec 26, 2024",928.4,930.49,915.3,924.14,924.14,"2,340,300"
"Dec 24, 2024",915,935.85,911.7,932.12,932.12,"2,320,300"
"Dec 23, 2024",913.42,915,899.1,911.45,911.45,"2,339,400"
"Dec 20, 2024",893.21,919.92,890.49,909.05,909.05,"4,530,500"
"Dec 19, 2024",908.18,912.62,899,902.04,902.04,"2,815,500"
"Dec 18, 2024",919.13,922.44,886.56,889.55,889.55,"2,938,200"
"Dec 17, 2024",921.54,928.45,916.42,919.13,919.13,"2,459,500"
"Dec 16, 2024",923.94,928.94,919.5,921.08,921.08,"2,674,900"
"Dec 13, 2024",916.81,925.55,909.61,918.87,918.87,"2,485,800"
"Dec 12, 2024",933.35,934.09,922.6,925.55,925.55,"2,486,200"
"Dec 11, 2024",924.71,941.75,923.08,936.56,936.56,"3,501,700"
"Dec 10, 2024",913.76,922.88,909.58,913.35,913.35,"2,388,600"
"Dec 9, 2024",928,930.3,902.59,913.69,913.69,"3,350,100"
"Dec 6, 2024",915.23,935.27,912.71,934.74,934.74,"2,955,400"
"Dec 5, 2024",917.85,927,911.11,917.87,917.87,"2,835,300"
"Dec 4, 2024",898.05,915.97,898.05,911.06,911.06,"2,689,600"
"Dec 3, 2024",894.36,902.69,888.03,902.17,902.17,"2,401,600"
"Dec 2, 2024",887.51,902.34,884.12,897.74,897.74,"2,389,000"
"Nov 29, 2024",882.17,892.41,876.68,886.81,886.81,"2,027,200"
"Nov 27, 2024",872.06,880.95,858.91,877.34,877.34,"2,578,200"
"Nov 26, 2024",867.49,886.36,867.25,872.6,872.6,"3,138,300"
"Nov 25, 2024",902.05,902.05,864.22,865.59,865.59,"6,014,200"
"Nov 22, 2024",896,906,893,897.79,897.79,"3,214,000"
"Nov 21, 2024",883.93,908,877.24,897.48,897.48,"4,511,300"
"Nov 20, 2024",879.98,890.6,868.4,883.85,883.85,"4,093,800"
